LOCAL_PACK_CODE,PCID Mapping
MAL13095080AZ,1691797
MAL20014356AZ,943802
MAL19870317AZ,943794
MAL19056017X,1691755
MAL20031914AZ,338077
MAL06021257X,600415
MAL05061555XZ,943513
MAL09032008AZ,601526
MAL19880163AZ,1421016
MAL19912652XZ,1909788
MAL19962526AZ,619045
MAL09042434AZ,515416
MAL19860848AZ,1691243
MAL19913162XR,2223112
MAL07091040ACZ,1901569
MAL20116002ACRZ,1959174
MAL19912626X,1691601
MAL19860103AZ,923428
MAL19993075AZ,943485
MAL09072774AZ,1565904
MAL20013492XRZ,1692014
MAL09100256AZ,1909801
MAL10070594AZ,1901512
MAL20026073AZ,1901617
MAL19890082AZ,1691852
MAL19992137AZ,1565897
MAL11085007XZ,943126
MAL19984125XC,322002
MAL18106025AZ,1901582
MAL19860589AZ,1691504
MAL19890266ACZ,1964113
MAL13055075ARZ,1901486
MAL04010359XZ,1692143
MAL20000081AZ,1691804
MAL20012740AZ,1901484
MAL19900076AZ,1691257
MAL12095092AZ,1691457
MAL19940027AZ,1565832
MAL20014236XZ,1901477
MAL18086164AZ,1691812
MAL19912692XZ,1836214
MAL20091871AZ,1901588
MAL19991441XZ,515412
MAL17107076ACRZ,2107541
MAL19984387AZ,1421029
MAL09100243AZ,1692160
MAL19860679AZ,665148
MAL19950272AZ,1909799
MAL19972531AZ,868093
MAL19984397AZ,1692188
MAL19989040AZ,1676503
MAL20021421AZ,1909798
MAL15045130AZ,1692011
MAL20061563AZ,446259
MAL19986961ACZ,1421107
MAL20040209AZ,389729
MAL20051411AZ,1691615
MAL19986501AZ,1691668
MAL20000890XZ,1691721
MAL19860101AZ,943532
MAL20020152AZ,1420976
MAL08091413AZ,943636
MAL19940550XZ,198945
MAL19912742AZ,1901551
MAL18026186AZ,1959124
MAL19961320AZ,1959135
MAL07082985X,944155
MAL20061550AZ,599848
MAL18046173AZ,1565709
MAL19860072AZ,2053881
MAL19871220AZ,1691600
MAL09042417AZ,1837966
MAL19900020AZ,1691963
MAL12110006ACZ,1837956
MAL11060013AZ,1421167
MAL19890378AZ,1901557
MAL15045122AZ,1692008
MAL20031927AZ,1691299
MAL07031137ACZ,943206
MAL21016018XCZ,1901530
MAL19985178AZ,943767
MAL19973001AZ,1691845
MAL15125037AZ,1691598
MAL12060008AZ,1421125
MAL13125019AZ,1691863
MAL19940439AZ,1901591
MAL07061578X,368682
MAL13035064AZ,1901599
MAL20034563XZ,944208
MAL07061569XCZ,1964111
MAL20040963AZ,1901629
MAL19036006AZ,1691932
MAL19961330AZ,1959133
MAL19911426X,1420991
MAL20086021X,1901589
MAL06051302AZ,1692045
MAL15045132AZ,1691993
MAL20040211AZ,1421012
MAL17065024AZ,1691510
MAL18086161AZ,1691640
MAL12115070XZ,943694
MAL20013446AZ,1901621
MAL19890140AZ,923415
MAL05032527XCR,1901601
MAL20046103ACRZ,1901635
MAL19900523AZ,1692006
MAL19993073AZ,1901553
MAL13055066ACZ,1691713
MAL11060032AZ,943167
MAL19973008AZ,420731
MAL19970959AZ,943378
MAL11040013AZ,1692114
